$MeshFile
Vertex	X	YZ
0	-0.5	0.50
1	-0.484615	0.50
2	-0.469231	0.50
3	-0.453846	0.50
4	-0.438462	0.50
5	-0.423077	0.50
6	-0.407692	0.50
7	-0.392308	0.50
8	-0.376923	0.50
9	-0.361538	0.50
10	-0.346154	0.50
11	-0.330769	0.50
12	-0.315385	0.50
13	-0.3	0.50
14	-0.284615	0.50
15	-0.269231	0.50
16	-0.253846	0.50
17	-0.238462	0.50
18	-0.223077	0.50
19	-0.207692	0.50
20	-0.192308	0.50
21	-0.176923	0.50
22	-0.161538	0.50
23	-0.146154	0.50
24	-0.130769	0.50
25	-0.115385	0.50
26	-0.1	0.50
27	-0.0846154	0.50
28	-0.0692308	0.50
29	-0.0538462	0.50
30	-0.0384615	0.50
31	-0.0230769	0.50
32	-0.00769231	0.50
33	0.00769231	0.50
34	0.0230769	0.50
35	0.0384615	0.50
36	0.0538462	0.50
37	0.0692308	0.50
38	0.0846154	0.50
39	0.1	0.50
40	0.115385	0.50
41	0.130769	0.50
42	0.146154	0.50
43	0.161538	0.50
44	0.176923	0.50
45	0.192308	0.50
46	0.207692	0.50
47	0.223077	0.50
48	0.238462	0.50
49	0.253846	0.50
50	0.269231	0.50
51	0.284615	0.50
52	0.3	0.50
53	0.315385	0.50
54	0.330769	0.50
55	0.346154	0.50
56	0.361538	0.50
57	0.376923	0.50
58	0.392308	0.50
59	0.407692	0.50
60	0.423077	0.50
61	0.438462	0.50
62	0.453846	0.50
63	0.469231	0.50
64	0.484615	0.50
65	0.5	0.50
66	-0.5	0.4846150
67	-0.484615	0.4846150
68	-0.469231	0.4846150
69	-0.453846	0.4846150
70	-0.438462	0.4846150
71	-0.423077	0.4846150
72	-0.407692	0.4846150
73	-0.392308	0.4846150
74	-0.376923	0.4846150
75	-0.361538	0.4846150
76	-0.346154	0.4846150
77	-0.330769	0.4846150
78	-0.315385	0.4846150
79	-0.3	0.4846150
80	-0.284615	0.4846150
81	-0.269231	0.4846150
82	-0.253846	0.4846150
83	-0.238462	0.4846150
84	-0.223077	0.4846150
85	-0.207692	0.4846150
86	-0.192308	0.4846150
87	-0.176923	0.4846150
88	-0.161538	0.4846150
89	-0.146154	0.4846150
90	-0.130769	0.4846150
91	-0.115385	0.4846150
92	-0.1	0.4846150
93	-0.0846154	0.4846150
94	-0.0692308	0.4846150
95	-0.0538462	0.4846150
