2RD Navier Stokes Equation Using Finite Volume Method
GRID Size:	 65 	 X 65 
Reynolds number of the simulation:100.000000
Iteration no:	1	 Ures: 	1.0000000000e+00	 Vres: 	1.0000000000e+00	 Pres: 	1.0000000000e+00	 
Iteration no:	2	 Ures: 	1.1645840444e+00	 Vres: 	2.1900236889e+00	 Pres: 	1.9892548157e+00	 
Iteration no:	3	 Ures: 	8.3641262191e-01	 Vres: 	3.2371248368e+00	 Pres: 	2.6160648887e+00	 
Iteration no:	4	 Ures: 	6.5172724026e-01	 Vres: 	4.0956019602e+00	 Pres: 	3.1115120413e+00	 
Iteration no:	5	 Ures: 	5.3432990726e-01	 Vres: 	4.8113917964e+00	 Pres: 	3.5151248638e+00	 
Iteration no:	6	 Ures: 	4.5274296315e-01	 Vres: 	5.4133964144e+00	 Pres: 	3.8462558672e+00	 
Iteration no:	7	 Ures: 	3.9240025962e-01	 Vres: 	5.9153662872e+00	 Pres: 	4.1193173770e+00	 
Iteration no:	8	 Ures: 	3.4577360719e-01	 Vres: 	6.3313763147e+00	 Pres: 	4.3417711339e+00	 
Iteration no:	9	 Ures: 	3.0860850169e-01	 Vres: 	6.6758909195e+00	 Pres: 	4.5155110789e+00	 
Iteration no:	10	 Ures: 	2.7833478672e-01	 Vres: 	6.9614688972e+00	 Pres: 	4.6394800202e+00	 
Iteration no:	11	 Ures: 	2.5332244933e-01	 Vres: 	7.1980413046e+00	 Pres: 	4.7117868902e+00	 
Iteration no:	12	 Ures: 	2.3249837569e-01	 Vres: 	7.3931212243e+00	 Pres: 	4.7310658058e+00	 
Iteration no:	13	 Ures: 	2.1513051760e-01	 Vres: 	7.5521654724e+00	 Pres: 	4.6972741356e+00	 
Iteration no:	14	 Ures: 	2.0069571418e-01	 Vres: 	7.6788352995e+00	 Pres: 	4.6121385366e+00	 
Iteration no:	15	 Ures: 	1.8879325295e-01	 Vres: 	7.7751812082e+00	 Pres: 	4.4793845748e+00	 
Iteration no:	16	 Ures: 	1.7908705866e-01	 Vres: 	7.8418414272e+00	 Pres: 	4.3048278673e+00	 
Iteration no:	17	 Ures: 	1.7126902170e-01	 Vres: 	7.8783195663e+00	 Pres: 	4.0963718796e+00	 
Iteration no:	18	 Ures: 	1.6503972071e-01	 Vres: 	7.8833594785e+00	 Pres: 	3.8639380392e+00	 
Iteration no:	19	 Ures: 	1.6010322744e-01	 Vres: 	7.8553917430e+00	 Pres: 	3.6193318306e+00	 
Iteration no:	20	 Ures: 	1.5617175127e-01	 Vres: 	7.7929981330e+00	 Pres: 	3.3760060522e+00	 
Iteration no:	21	 Ures: 	1.5297521261e-01	 Vres: 	7.6953317685e+00	 Pres: 	3.1486039866e+00	 
Iteration no:	22	 Ures: 	1.5027128760e-01	 Vres: 	7.5624394445e+00	 Pres: 	2.9520612977e+00	 
Iteration no:	23	 Ures: 	1.4785292526e-01	 Vres: 	7.3954531167e+00	 Pres: 	2.8000090624e+00	 
Iteration no:	24	 Ures: 	1.4555210266e-01	 Vres: 	7.1966425567e+00	 Pres: 	2.7024647780e+00	 
Iteration no:	25	 Ures: 	1.4323999414e-01	 Vres: 	6.9693443431e+00	 Pres: 	2.6634595369e+00	 
Iteration no:	26	 Ures: 	1.4082450173e-01	 Vres: 	6.7177991571e+00	 Pres: 	2.6798779484e+00	 
Iteration no:	27	 Ures: 	1.3824628615e-01	 Vres: 	6.4469375742e+00	 Pres: 	2.7424224841e+00	 
Iteration no:	28	 Ures: 	1.3547426319e-01	 Vres: 	6.1621539334e+00	 Pres: 	2.8382267643e+00	 
Iteration no:	29	 Ures: 	1.3250120015e-01	 Vres: 	5.8690996711e+00	 Pres: 	2.9536816863e+00	 
Iteration no:	30	 Ures: 	1.2933970784e-01	 Vres: 	5.5735139956e+00	 Pres: 	3.0763869457e+00	 
Iteration no:	31	 Ures: 	1.2601865366e-01	 Vres: 	5.2810937741e+00	 Pres: 	3.1960367234e+00	 
Iteration no:	32	 Ures: 	1.2257985023e-01	 Vres: 	4.9973890776e+00	 Pres: 	3.3045720365e+00	 
Iteration no:	33	 Ures: 	1.1907480346e-01	 Vres: 	4.7276990702e+00	 Pres: 	3.3959833356e+00	 
Iteration no:	34	 Ures: 	1.1556131895e-01	 Vres: 	4.4769380288e+00	 Pres: 	3.4660096806e+00	 
Iteration no:	35	 Ures: 	1.1209984709e-01	 Vres: 	4.2494464885e+00	 Pres: 	3.5118487300e+00	 
Iteration no:	36	 Ures: 	1.0874957371e-01	 Vres: 	4.0487404907e+00	 Pres: 	3.5319136781e+00	 
Iteration no:	37	 Ures: 	1.0556441153e-01	 Vres: 	3.8772223695e+00	 Pres: 	3.5256378172e+00	 
Iteration no:	38	 Ures: 	1.0258919033e-01	 Vres: 	3.7359122258e+00	 Pres: 	3.4933154157e+00	 
Iteration no:	39	 Ures: 	9.9856445272e-02	 Vres: 	3.6242839389e+00	 Pres: 	3.4359663062e+00	 
Iteration no:	40	 Ures: 	9.7384226116e-02	 Vres: 	3.5402834938e+00	 Pres: 	3.3552143153e+00	 
Iteration no:	41	 Ures: 	9.5175267057e-02	 Vres: 	3.4805623622e+00	 Pres: 	3.2531734411e+00	 
Iteration no:	42	 Ures: 	9.3217669528e-02	 Vres: 	3.4408909183e+00	 Pres: 	3.1323392373e+00	 
Iteration no:	43	 Ures: 	9.1486998053e-02	 Vres: 	3.4166607184e+00	 Pres: 	2.9954857626e+00	 
Iteration no:	44	 Ures: 	8.9949444473e-02	 Vres: 	3.4033674754e+00	 Pres: 	2.8455705904e+00	 
Iteration no:	45	 Ures: 	8.8565551893e-02	 Vres: 	3.3969900669e+00	 Pres: 	2.6856518026e+00	 
Iteration no:	46	 Ures: 	8.7293949962e-02	 Vres: 	3.3942244587e+00	 Pres: 	2.5188216702e+00	 
Iteration no:	47	 Ures: 	8.6094633573e-02	 Vres: 	3.3925720144e+00	 Pres: 	2.3481619291e+00	 
Iteration no:	48	 Ures: 	8.4931475315e-02	 Vres: 	3.3903074100e+00	 Pres: 	2.1767251540e+00	 
Iteration no:	49	 Ures: 	8.3773842246e-02	 Vres: 	3.3863620813e+00	 Pres: 	2.0075454859e+00	 
Iteration no:	50	 Ures: 	8.2597344130e-02	 Vres: 	3.3801599549e+00	 Pres: 	1.8436791941e+00	 
Iteration no:	51	 Ures: 	8.1383849088e-02	 Vres: 	3.3714382346e+00	 Pres: 	1.6882697275e+00	 
Iteration no:	52	 Ures: 	8.0120959810e-02	 Vres: 	3.3600801635e+00	 Pres: 	1.5446201781e+00	 
Iteration no:	53	 Ures: 	7.8801157639e-02	 Vres: 	3.3459800021e+00	 Pres: 	1.4162346534e+00	 
Iteration no:	54	 Ures: 	7.7420805808e-02	 Vres: 	3.3289531629e+00	 Pres: 	1.3067580792e+00	 
Iteration no:	55	 Ures: 	7.5979169338e-02	 Vres: 	3.3086967709e+00	 Pres: 	1.2197158380e+00	 
Iteration no:	56	 Ures: 	7.4477567046e-02	 Vres: 	3.2847985157e+00	 Pres: 	1.1579782910e+00	 
Iteration no:	57	 Ures: 	7.2918727626e-02	 Vres: 	3.2567854579e+00	 Pres: 	1.1230183569e+00	 
Iteration no:	58	 Ures: 	7.1306381354e-02	 Vres: 	3.2242002999e+00	 Pres: 	1.1142695808e+00	 
Iteration no:	59	 Ures: 	6.9645084635e-02	 Vres: 	3.1866909029e+00	 Pres: 	1.1289942776e+00	 
Iteration no:	60	 Ures: 	6.7940248146e-02	 Vres: 	3.1440993468e+00	 Pres: 	1.1628049695e+00	 
Iteration no:	61	 Ures: 	6.6198321311e-02	 Vres: 	3.0965388953e+00	 Pres: 	1.2105483513e+00	 
Iteration no:	62	 Ures: 	6.4427076015e-02	 Vres: 	3.0444499981e+00	 Pres: 	1.2671114434e+00	 
Iteration no:	63	 Ures: 	6.2635929472e-02	 Vres: 	2.9886291967e+00	 Pres: 	1.3279109980e+00	 
Iteration no:	64	 Ures: 	6.0836248122e-02	 Vres: 	2.9302270375e+00	 Pres: 	1.3890780838e+00	 
Iteration no:	65	 Ures: 	5.9041579223e-02	 Vres: 	2.8707128063e+00	 Pres: 	1.4474560363e+00	 
Iteration no:	66	 Ures: 	5.7267762462e-02	 Vres: 	2.8118053634e+00	 Pres: 	1.5005191961e+00	 
Iteration no:	67	 Ures: 	5.5532879232e-02	 Vres: 	2.7553711908e+00	 Pres: 	1.5462751675e+00	 
Iteration no:	68	 Ures: 	5.3857002180e-02	 Vres: 	2.7032936258e+00	 Pres: 	1.5831775831e+00	 
Iteration no:	69	 Ures: 	5.2261713595e-02	 Vres: 	2.6573215942e+00	 Pres: 	1.6100567879e+00	 
Iteration no:	70	 Ures: 	5.0769371253e-02	 Vres: 	2.6189116483e+00	 Pres: 	1.6260675098e+00	 
Iteration no:	71	 Ures: 	4.9402118529e-02	 Vres: 	2.5890823663e+00	 Pres: 	1.6306500447e+00	 
Iteration no:	72	 Ures: 	4.8180665718e-02	 Vres: 	2.5683027294e+00	 Pres: 	1.6235013973e+00	 
Iteration no:	73	 Ures: 	4.7122912539e-02	 Vres: 	2.5564335587e+00	 Pres: 	1.6045535764e+00	 
Iteration no:	74	 Ures: 	4.6242532552e-02	 Vres: 	2.5527326814e+00	 Pres: 	1.5739571462e+00	 
Iteration no:	75	 Ures: 	4.5547685712e-02	 Vres: 	2.5559222029e+00	 Pres: 	1.5320689778e+00	 
Iteration no:	76	 Ures: 	4.5040046324e-02	 Vres: 	2.5643042806e+00	 Pres: 	1.4794438989e+00	 
Iteration no:	77	 Ures: 	4.4714313077e-02	 Vres: 	2.5759043244e+00	 Pres: 	1.4168306627e+00	 
Iteration no:	78	 Ures: 	4.4558300402e-02	 Vres: 	2.5886194881e+00	 Pres: 	1.3451734821e+00	 
Iteration no:	79	 Ures: 	4.4553610785e-02	 Vres: 	2.6003546569e+00	 Pres: 	1.2656214456e+00	 
Iteration no:	80	 Ures: 	4.4676786104e-02	 Vres: 	2.6091351092e+00	 Pres: 	1.1795496835e+00	 
Iteration no:	81	 Ures: 	4.4900764641e-02	 Vres: 	2.6131918656e+00	 Pres: 	1.0885984443e+00	 
Iteration no:	82	 Ures: 	4.5196447600e-02	 Vres: 	2.6110207845e+00	 Pres: 	9.9473942460e-01	 
Iteration no:	83	 Ures: 	4.5534202339e-02	 Vres: 	2.6014193080e+00	 Pres: 	9.0038213858e-01	 
Iteration no:	84	 Ures: 	4.5885181544e-02	 Vres: 	2.5835057889e+00	 Pres: 	8.0853305074e-01	 
Iteration no:	85	 Ures: 	4.6222396427e-02	 Vres: 	2.5567261919e+00	 Pres: 	7.2300304580e-01	 
Iteration no:	86	 Ures: 	4.6521531405e-02	 Vres: 	2.5208522479e+00	 Pres: 	6.4858771111e-01	 
Iteration no:	87	 Ures: 	4.6761520350e-02	 Vres: 	2.4759742320e+00	 Pres: 	5.9095965281e-01	 
Iteration no:	88	 Ures: 	4.6924920586e-02	 Vres: 	2.4224906582e+00	 Pres: 	5.5575900902e-01	 
